nome,telefone,whatsapp,email
CASA DO LUBRIFICANTE LTDA,(31)3492-9390,(31)0000,vendas04@casadolubrificante.net.br
CASA FERREIRA GONCALVES LTDA,(31) 3071-2222,(31)98473-1514,tiao@cfg.com.br
CASA MENDANHA LTDA,(31) 3789-1351,(31) 3789-1351,vendas@casamendanha.com.br
CASA ÚNICA MATERIAIS PARA CONSTRUÇÃO LTDA,(31)2126-1000,(31) 9617-7387,delson.gomes@santacruzacabamentos.com.br
CASTRO REPRESENTAÇOES LTDA,(31)3278-1050,(31)98876-8985,marcao@grupocore.com.br
CDM CENTRO DE DISTRIBUIÇÃO DE MOVEIS LTDA,(31)3411-3390,(31)99324-6212,tiago@spazi.com.br
CENTRAL CASA E CONSTRUÇÃO LTDA,(31) 9976-0608,(31) 99760-6088,central.casaeconstrucao@gmail.com
CENTRAL DE VENDAS LTDA,(31)3411-9044,(31)99148-7181,vendas.centraltapetes@gmail.com
CENTRAL DO PADRÃO E INSTALAÇÕES ELÉTRICAS LTDA,(31)3212-4936,(31)98364-2813,centraldopadrao@yahoo.com
CENTRAL ILUMINAÇÃO LTDA,3134298505,(31) 98712-6767,margareth@centraliluminacao.com.br
CENTRAL TELAS EIRELLI EPP,(31)3332-4648,(31)3332-4648,vendas@centraltelas.com.br
CERAMICA BRAUNAS LTDA,(31) 2116-6000,(31) 99906-8959,joaobosco@braunas.com.br
CERAMICA MARBETH LTDA,(31)3499-7800,(31) 99906-8959,joaobosco@braunas.com.br
CERAMICA RAMOS LTDA,1935569100,(31) 99392-9817,mafranrep@gmail.com
VILLAGRES,(19) 3545-9000,(31) 99392-9817,mafranrep@gmail.com
CERÂMICA VISÃO LTDA,(31) 9930-3936,(31) 99303-9363,tijolosvisao@gmail.com
CERAMICAS CEDROMINAS LTDA,(31)3398-3014,(31)98859-8267,tijoloscaetano@yahoo.com.br
POSTO DE VENDAS 31,(24) 2251-7850,(21) 96969-1574,donaireprojetos@gmail.com
CESTA BASICA BOM APETITE EIRELI,(31)3491-6065,(31)98896-3002,suelibomapetit@hotmail.com
CHAPERFIL INDÚSTRIA E COMÉRCIO LTDA,(31) 3333-2400,(31) 99767-9410,marcelo@chaperfil.com.br
CITYTUBOS COMERCIO DE TUBOS LTDA,(31)3383-9144,(31)98479-9144,citytubos@citytubos.com.br
CNR MATERIAIS DE CONSTRUÇÕES LTDA,(31) 2537-2161,(31) 99780-4007,gabrielsouza@cnr.com.br
CNT AMBIENTAL LTDA,(31)3486-3300,(31)0000,marco.andrade@cntambiental.com.br
COBERTURAS ALVORADA LTDA,(31) 3441-3900,(31) 98484-1922,contato@alvoradatoldos.com.br
COBRAÇO COM. BRASILEIRA DE AÇO LTDA,(31)3383-3067,(31)3524-4183,liliene@grupocobraco.com.br
COFERMETA S.A,(31) 3290-2100,(31) 3290-2020,carlosmoreira@cofermeta.com.br
COFERMETA S.A - Divisão Hidraulica,(31) 3290-2200,(31) 98709-1211,hidraulica@cofermeta.com.br
COMERCIAL CONSTRUR LTDA,(31) 3443-5051,(31) 3443-5051,lajesconstrur@gmail.com
COMERCIAL DE TELHAS CHALÉ LTDA,(31) 3373-1587,(31) 3373-1587,chaletelhascomercial@gmail.com
COMERCIAL ENCERASP EIRELI,(31)3464-1131,(31)98709-2132,vinicius@encerasp.com.br
COMERCIAL ISO LTDA,3132235622,(31) 3223-5622,comercialiso@comercialiso.com.br
COMERCIAL MINEIRA DE  MAQUINAS LTDA,(31)3271-7300,(31)99264-4346,cruz@comercialmineira.com.br
COMERCIAL PALAZZO DECORAÇÕES LTDA,(31)3332-1632,(31)0000,palazzodecor@outlook.com
COMERCIAL PEDRO II LTDA,(31) 3375-1110,(31) 3375-1110,compedro@compedro.com.br
COMERCILL LTDA,(31) 3371-1155,(31) 97118-0595,contatocomercill@gmail.com
COMITEC COMÉRCIO LTDA - EPP,(31)3227-9808,(31)3221-3283,comiteccomercioltda@gmail.com
COMPLEMIG COMPLEXO METALURGICO DE MG IND E COM,(31) 3444-2444,(31) 97400-9429,complemigbh@gmail.com
CONCREBET INDÚSTRIA E COMÉRCIO LTDA,(31) 3597-2726,(31) 99231-6668,vendas@concrebet.com.br
CONCRETON  LTDA,(31) 3371-6499,(31) 99292-7233,concreton@uol.com.br
CONEPAR COMERCIO DE PARAFUSOS LTDA,(31)3373-1039,(31)0000,conepar@conepar.com.br
CONSTRUMONT CONSTRUÇÕES E MONTAGEM METALICAS LTDA,(31)3119-7883,(31)9929-8320,vendas@fortmetal.com.br
CONSULTARELABCON ENGENHARIA E CONSULTORIA LTDA,(31)3383-3827,(31) 98451-3426,marcelo@consultarelabcon.com.br
COPLAS INDUSTRIA DE PLASTICO LTDA,(11)4543-6126,(11) 97313-0901,sudeste@coplas.com.br
CORDAL BH COMERCIO DE CABOS E ACESSORIOS LTDA,(31) 7124-0049,(31) 98886-4340,cordalbh@gmail.com
COSTAZUL PISCINAS E EQUIPAMENTOS LTDA,,(31)98324-6007,cz@tibumpiscinas.com.br
CREFIPEL DISTRIBUIDORA LTDA,(31)3444-8388,(31)98272-7130,crefipeldistribuidora@yahoo.com.br
A.A.A.A.STONES E GRANITOS,(31)3225-2170 / 99270-0002,(31) 9262-0009,dmpedras@gmail.com
D'MAIS ENGENHARIA E CONSTRUCOES LTDA,(31) 9414-6360,(31) 9119-6360,contato@dmaiseng.com.br
DAVID BATISTA AMORIM FILHO,(31)3442-2020,(31)98573-4925,comercial@marcoponto.com
DEFLOR DEFESA FLORESTAL LTDA,(31)3284-5622,(31) 99673-9331,comercial@deflor.com.br
"DELTA INDUSTRIA CERAMICA LTDA,",1935223700,(31) 99392-9817,mafranrep@gmail.com
DEPOSITO BARROCA PRADO MATERIAIS DE CONSTRUCAO LTDA,(31) 3332-8922,(31) 99123-4315,depositobarrocaprado@gmail.com
DEPÓSITO FLAMBOYANT LTDA,(31) 3373-2011,(31) 98580-3263,depositoflamboyant@yahoo.com
DEPÓSITO IRMÃOS BECKER LTDA,(31)3223-5144 / 3228-2550,(31)98407-2655,vendas@irmaosbecker.com.br
DEPOSITO SAVASSI MAT. CONST. LTDA,(31)3282-1530,(31)97230-4093,contato@depositosavassi.com.br
DISTRIBUIDORA TRIÂNGULO LTDA,(31)3469-6900,(31)0000,vendas.triangulo@distriangulo.com.br
DM ACABAMENTOS LTDA,(31)3483-2313,(31)3483-2313,leandrodmltda@yahoo.com.br
DROGARIA ARAÚJO,(31)3270-5000,(31)0000,drogatelvendedores@araujo.com.br
Eco Raiz Floricultura ,(31) 9921-2446,(31) 99212-4462,fortesolo446@gmail.com
EGOM INSTALACOES E MONTAGENS LTDA,(31)3486-1166,(31) 8401-2197,orcamento@egom.ind.br
ELÉTRICA E FERRAGEM DIAS LTDA,(31)3371-4999,(31)98333-0619,eletricadias@hotmail.com
ELETRO BETIM LTDA,(31)3532-3432,(31) 98435-9740,vendasehb@eletrobetim.com.br
TECH BARRAS,(31) 3491-2232,(31) 98726-0052,renata@rpcmg.com.br
ELETROMATE MATERIAIS ELETRICOS EIRELLI,(31)4009-4444,(31) 4009-4444,ricardo@eletromate.com.br
ELEVA LOCADORA DE EQUIPAMENTOS LTDA,(31)3441-5554,(31)99134-3737,elevalocadora@yahoo.com.br
EMBRAMACO,(31) 3278-1050,(31) 98876-8985,gregorio.rep@hotmail.com
ENGEQUADRA CONSTRUCOES LTDA,(31)3287-2775,(31)0000,alipio@engequadra.com.br
ELITE EPIS & UNIFORMES,(31) 3359-3050,(31) 99357-1164,loja01@eliteepi.com.br
EQUIPAMENTOS AC LTDA,(31)3212-3933,(31)99552-2203,vendas@equipamentosac.com.br
ESMIG INDUSTRIA DE ESCADAS LTDA,(31) 3427-0444,(31) 99638-4880,carvalho@esmig.com.br
ESPAÇO AZUL COMERCIO DE EQUIPAMENTOS PARA PISCINA LTDA,(31) 3223-5301,(31) 99884-3081,azulpiscina@gmail.com
ESTRELA TRANSPORTES  LTDA,(31)3363-4511,(31)0000,comercial@estrelatransportes.com.br
ESTRUTURAL GLAZING COMERCIO E SERVICOS DE VIDROS EIRELI,(31) 3334-3244,(31)99854-8801,gabriel@egesquadrias.com.br
EXCELSIOR COMERCIO E REPRESENTAÇÕES LTDA,(31) 9965-9433,(31) 9659-4337,gerente3@excelsiorbh.com.br
EXPRESSA NOVECENTOS LTDA,(31)3462-5495,(31)99960-8601,vianovecentos@hotmail.com
EXXI GLOBAL DO BRASIL LTDA,(31) 9914-0552,(31) 99140-5528,sergiochavesluiz1@gmail.com
FACIM LADRILHOS E PRÉ MOLDADOS LTDA,(31) 3396-1350,(31) 98973-3856,facim.vendas@yahoo.com.br
FC FUROS E CORTE EM CONCRETO LTDA,(31) 3353-5811,(31) 98713-7575,fcfuros@fcfuros.com.br
FC MÁRMORES E GRANITOS EIRELE,(31)3371-0700,(31)98388-8369,vendas1@delreipedras.com.br
FCK PREMOLDADOS LTDA,(31)3501-0800,(31) 3501-0800,vendas@fck.ind.br
FENIX TAMBORES E BOMBONAS LTDA,(31)3393-1677,(31)0000,fenixtambores@fenixtambores.com.br
FERRAÇO INDUSTRIA E COMÉRCIO LTDA,(31)3462-9633,(31)99955-4142,priscila.ferracobh@gmail.com
FERRAGENS ATUAL LTDA,(31) 3273-1422,(31) 3273-4023,ferreira@ferragensatual.com.br
FERRAGENS DOURADA LTDA,(31)3785-9608,(31)98684-9399,douradavenda@gmail.com
FERRAGENS ROMA LTDA,(31) 3273-7077,(31) 99269-0173,contato@ferragensroma.com.br
FERRAGENS SANTA MONICA LTDA,(31)3328-7021,(31) 7148-8890,vendas@acosantaclara.com.br
FERRAGENS SCHIAVO E LIMA LTDA,(31)3384-6752,(31)0000,fecholar@gmail.com
FLORI-STANCIA GABRIELA LTDA,(31) 3372-1000,(31) 99306-1020,floristanciagabriela@yahoo.com.br
FLORICULTURA BEM-TE-VI LTDA,(31) 3486-3171,(31) 99333-6477,floriculturabemtevi@gmail.com
FLORICULTURA FORTE GRAMA LTDA,(31)3371-1022 / 3334-4000,(31)99124-4489,fortegrama@florabeijaflor.com.br
FORMILIDER LTDA,(31)3421-3366,(31)0000,leonardo@formilider.com.br
Fornecedor 1,(31)9 8400-5308,(31)9 8400-5308,fornecedor1@cotareconstruir.com.br
Fornecedor 2,(31)9 8400-5308,(31)9 8400-5308,fornecedor2@cotareconstruir.com.br
FORROBRAS COMERCIO DE FORROS LTDA,(31)3417-8222,(31) 9697-8222,forrobras@gmail.com
FREITAS NEVES & OLIVEIRA ESQUADRIAS LTDA,(31)3493-7080,,contato@anacional.ind.br
FRIOMINAS MAQUINAS REPRESENTAÇÕES LTDA,(31)3469-1200,(31))99947-7755,sivaldo@friominas.com.br
FURACÃO INDUSTIA E COMERCIO DE VENTILADORES LTDA,(31)3428-9000,(31)98643-8704,vendas@furacaoventiladores.com.br
GABIONORTE MINAS ENGENHARIA LTDA,(31) 3297-4308,(31) 99810-5864,comercial.jguimaraes@gmail.com
GASMECANICA PROJ.COM.E MONT.PARA GAS GLP E GN LTDA,(31)3318-9527,(31) 9306-0183,vendas@gasmecanica.com.br
GERDAU AÇOS LONGOS S.A,(31)3369-1453,(31)98294-0549,caio.santos@gerdau.com.br
GESSO ANAPOLIS LTDA ME,(31)3357-2560,(31)99733-3713,anapolisgesso@yahoo.com.br
GLASS ESQUADRIAS  LTDA,31031150501,(31) 98433-5480,arlete@cristalglassltda.com.br
GM VIDRO COMERCIO INSTALAÇÕES LTDA,(31)3463-6344,(31)3546-5962,gmvidrosespeciais@gmail.com
GMP LOCAÇÕES DE MAQUINAS E SERVIÇOS LTDA,(31)3494-4666,(31)98738-7307,gustavo@gemape.com.br
GO ENGENHARIA LTDA,(31)3467-4477,(31) 99941-8173,alexandre@grupoorlando.com.br
GRAÇA COMERCIO E REPRESENTAÇÕES LTDA,(31)3291-6833,(31)97544-3820,alexandre@gracabombas.com.br
PRE-MOLDADOS SAMPAIO,(31) 3593-8441,(31) 9785-8447,vendas@premoldadossampaio.com.br
HASTIFIX INDUSTRIA E COMERCIO LTDA,(31)3357-7655,(31)98605-9754,hastifix.ltda@gmail.com
HEBERT SANDINHA CONSULTOR LTDA,(31) 84005308,(31) 98400-5308,hebertsandinha@gmail.com
HEBERT SANDINHA CONSULTOR LTDA,,,hebertsandinhacorretor@gmail.com
HIDROCENTER VÁLVULAS TUBOS E CONEXÕES LTDA,(31)3418-3333,(31) 9159-5007,gilberto@hydrocenter.com.br
HIDROPOÇOS LTDA,(31)2122-1819,(31)99328-2603,hpnet@hidropocos.com.br
HOME INDUSTRIA DE ESQUADRIA LTDA,(31) 3370-7040,(31) 7180-5559,fernando@aloxaluminium.com.br
IBRAP INDUSTRIA BRASILEIRA DE ALUMINIO E PLASTICOS S/A,(31)99158-9291,(31)99158-9291,comenge@bol.com.br
ICAL IND. DE CALCINAÇÃO LTDA,(31)3421-2996,(31) 99974-2664,bernardonpereira@gmail.com
ILUMEF INDÚSTRIA E  COMÉRCIO DE PRODUTOS METALÚRGICOS LTDA,(31) 3454-2111,(31) 99692-5877,walmaralves@ilumef.com.br
IMEFER INDUSTRIAL E MERCANTIL DE FERRAGENS LTDA,(31) 3225-1944,(31) 99928-1493,ivayr@imefer.com.br
IMPERALL IMPERMEABILIZAÇÃO E OBRAS CIVIS LTDA,(31) 3225-5080,(31) 98489-7068,marcio@imperal.com.br
IMPÉRIO DOS TUBOS LTDA,(31)3398-1019,(31) 98469-1412,marcio@imperiodostubos.com.br
IMPÉRIO EQUIPAMENTOS DE SEGURANÇA LTDA,(31) 3270-1155,(31) 99235-0746,vander@imperioseguranca.com.br
IMPERMEABILIZAÇÕES ISOLAR S/A,(31)3383-3277,(31)99321-9352,isolar@isolar.com.br
IMPERTRADE INDUSTRIA E COMERCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA,(31)3462-5575,(31)0000,luizeduardo@impertrade.com.br
IMPERVIA LTDA,(31) 3372-4333,(31) 99107-6629,vendas1@impervia.com.br
INCOBRAZ PREMOLDADOS LTDA,(31)3398-1415,(31)98496-2519,vendas@incobraz.com.br
INDAIÁ MÁRMORES E GRANITOS LTDA,(31) 3371-0122,(31) 99967-6692,franciscovinhal@gmail.com
INCEFRA,1935469300,(31) 99392-9817,mafranrep@gmail.com
INDUSTRIA DE PORTAS IMPORTA LTDA,(31)3444-4166,(31)98324-0815,importas@importas.com.br
INDUSTRIA DE PREMOLDADOS DE CONCRETO RAMOS LTDA,(31)3385-7233,(31)98744-4272,premoldadosramos@hotmail.com
INDÚSTRIA DE TRANSFORMADORES KING LTDA,(31) 3462-6498,(31) 99673-0817,comercial@trafoking.com.br
INSTITUTO RAMACRISNA,(31) 3201-0385,(31) 99618-2742,vendas2@cercasramacrisna.com.br
INTERCABOS INDUSTRIAL E COMERCIAL LTDA,3125195400,(31) 97147-3643,intercabos@intercabos.com.br
ISOPOR COMERCIAL LTDA,(31)3490-7272,(31)98878-9786,vendas02@isoporecia.com.br
ITAÚ DISTRIBUIDORA DE MATERIAL ELETRICO LTDA,(31) 3639-9150,(31) 99154-4928,jamir@itaueletrica.com.br
J MAGALHÃES LTDA,(31) 3474-2100,(31) 98485-7175,jmagalhaesltda@hotmail.com
J.N. MIRANDA LTDA,(31)3526-1063,(31) 98475-1338,cristiano@allmad.com.br
JAIR OLEOS,(31)3295-3033,,contato@jairoleos.com.br
JAIR OLEOS,(31)3295-3033,(31)0000,contato@jairoleos.com.br
JANOX AÇO INOXIDAVEL LTDA,(31)3464-7626,(31)98789-1394,marcio@janox.com.br
JATO DE AREIA LTDA.,3132717533,31992194237,leonardo.lnog@gmail.com
JB COMERCIO E DISTRIBUIDORA LTDA,(31) 3482-5433,(31) 97300-0263,vendas@jbcimento.com.br
JEEPAUTO LTDA,(31)3201-1000,(31) 98684-1311,jeepautocompras@gmail.com
JERUEL PLASTICOS INDUSTRIA E COMERCIO LTDA,(11) 4584-9922,(11) 97207-2354,orcamento@jeruelplast.com.br
JGM ARTEFATOS DE BORRACHA LTDA,(31)3396-2268,(31)99880-4546,jgmartefatosdeborracha@gmail.com
LEO CACAMBAS,(31) 3295-6000,(31) 99683-8836,jmcacambasltda@gmail.com
JULIANO E SATURNINO LTDA,(31)3398-1772,(31)99737-6900,contato@telasjs.com.br
KARINA PISOS E REVESTIMENTOS,(19) 2538-9100,(31) 98876-8985,gregorio.rep@hotmail.com
LADRIMAR INDUSTRIA E COMERCIO LTDA,(31)3464-1587,(31)99119-6789,ladrimarbh@yahoo.com.br
LAGE & FILHOS LTDA,(31)3541-6004,(31)98634-0009,lage@lagefilhos.com.br
LAMINA TEMPER COM E IND DE VIDROS DE SEGURANÇA LTDA,(31) 3362-8787,(31)0000,matheus@laminatemper.com.br
LIDER INDUSTRIA E COMERCIO LTDA,(31)3342-3200,(31)0000,vendas02@casadosbebedouroslider.com.br
LOC MASTER LOCADORA DE EQUIPAMENTOS EIRELLI,(31) 3463-0700,(31) 3463-0700,comercial@locsolo.com.br
LOCAFAZ LOCAÇÃO DE EQUIPAMENTOS LTDA,(31)3383-3838,(31) 99985-5595,negocios@locafaz.com.br
LOCAN LOCADORA DE ANDAIMES E EQUIPAMENTOS PARA CONSTRUÇÃO CIVIL LTDA,(31)3361-6422,(31) 99102-1722,comercial@locan.com.br
LOCJÁ MÁQUINAS E FERRAMENTAS ELÉTRICAS PARA CONSTRUÇÃO LTDA,(31) 3374-7230,(31) 98979-5873,edina@locja.com.br
LOCMAQ LOCADORA DE MÁQUINAS LTDA,(31) 3462-5777,(31) 9935-5777,comerciallocmaq@gmail.com
LOJA DA BORRACHA INDUSTRIA E COMERCIO LTDA,(31)3275-3600,(31)0000,contato@maxibor.ind.br
LOJA DOS PARAFUSOS LTDA,(31)3271-1012,(31)0000,vendas@lojapar.com.br
LOJA ELETRICA LTDA,31033197600,(31) 4020-2882,diegopimentel@lojaeletrica.com.br
LOMAQ LOCAÇÕES E COMERCIO LTDA,(31)3411-2577,(31) 99973-6665,paula@lomaq.com.br
LP FORT PRE-MOLDADOS LTDA,(31) 3474-3393,(31) 9696-2040,lpfortpremoldadosltda@gmail.com
LUANNA MÓVEIS PARA ESCRITORIO EIRELLI,(31)3278-4443,(31)0000,gerencia@ttamoveis.com.br
LUCIANO PISOS LTDA,(31)32974268,(31)3287-4268,sopiso@sopiso.com.br
LUMICENTER,(31) 3491-2232,(31) 98726-0052,renata@rpcmg.com.br
LUXEMBURGO MATERIAIS DE CONSTRUÇÃO LTDA,(31)3296-0510,(31)0000,luxemburgo1994@gmail.com
MG IMPERMEABILIZANTES,(31)3491-7688,(31)98718-3513,marcilio@mgimper.com.br
MADEGREEN,(31)3270-3000,(31) 3270-3000,atendimento@mdfsobmedida.com.br
MADEIRAS BALIZA COMERCIO EIRELI,(31)3433-3266,(31) 9890-1215,antoniaisabel@madeirasbaliza.com.br
MADEIREIRA ESTRELA LTDA,(31) 3476-8131,(31) 99300-0895,vendas@madeireiraestrela.com.br
MADEIREIRA GERAIS LTDA,(31)2129-1090,(31)99835-1425,vendasjulio@madeireiragerais.com.br
MADEIREIRA LARA AMARAL LTDA,(31)3474-1292,(31)98487-3176,madeirasrdm@hotmail.com
MADEIREIRA MERCANTIL LTDA,(31)3386-1898,(31)0000,madeireiramercantil@hotmail.com
MADEIREIRA PARANAENSE LTDA,(31)3272-6363,(31)0000,mad.paranaense@terra.com.br
MADEPLAN MADEIREIRA PLANALTO LTDA,(31)3464-1906,(31)0000,henriquepedrosa@madeplan.com.br
MAGESTY MADEIRAS LTDA,(31) 9998-3794,(31) 99983-7941,magestymadeiras@gmail.com
MÁQUINAS ELÉTRICAS SANTA CRUZ LTDA,(31)3391-6613,(31)0000,maquinaseletricassantacruz@yahoo.com.br
MARCO ANTONIO DE ALMEIDA BARBOSA,(31)3541-3999,(31)99615-4663,emporiorustico@yahoo.com.br
MARMORARIA CONCRETO LTDA,(31)3485-0677,(31)98696-0112,
MARMORITES NUNES LTDA,(31)3476-2580,(31)98511-1443,mesaeciamg@gmail.com
MARMORITES SANTA IZABEL INDUSTRIA E COMERCIO LTDA,(31)3411-9414 / 99199-1818,(31) 3411-9414,santaizabel@hotmail.com
MASEL - MATERIAIS DE SEGURANÇA EIRELI,(31)3351-9038,(31)0000,suelena@jorag.com.br
MAURI CACAMBA,(31) 3373-1135,(31) 3373-1135,mauricacamba2@yahoo.com
MBLB COMERCIO DE ACABAMENTOS LTDA,(31)3308-8188,(31)99611-3484,belissimo@belissimovallve.com.br
MC SOLUÇÕES LTDA,(31)3272-4145,(31)98471-8210,mcsolbh@gmail.com
MER - COMÉRCIO DE MADEIRAS LTDA,(31) 3371-8188,(31) 99252-0378,mer.madeiras.mer@gmail.com
MESQUITA MOTORES LTDA,(31)3421-2600,(31)99794-1167,vendas@mesquitamotores.com.br
MG MANUTENÇÃO E SERVIÇOS LTDA,(31)3491-7688,(31)98673-0435,kleber@mgimper.com.br
MG TOLDOS EIRELI,(31)3335-9782,(31)98343-1533,administrativo@toldos.srv.br
MIGUEL ARCANJO CRUZ,(31)3488-4000,(31) 9977-1819,esquadriasmetalicasmac@hotmail.com
MINAS ACO INOX LTDA,(31)3417-6564,(31)99216-3490,tonettialmeida@inoxminas.com.br
MINAS BORRACHA LTDA,(31) 3201-2366,(31) 3271-3347,vendas@minasborracha.com.br
MINAS EXTIN COMERCIO E SERVIÇOS EM EXTINTORES LTDA,(31) 3332-0200,(31) 99283-9505,depart.tecnico@extiminas.com.br
MINAS FERRAMENTAS LTDA,(31)3279-6000,(31) 99783-4057,lucio@minasferramentas.com.br
IMPERCON,3133181012,(31) 3318-1012,vendas@impercon.com.br
MINERAÇÃO MONTREAL LTDA,(31)34212996,(31) 99974-2664,bernardonpereira@gmail.com
MINERAÇÃO SANTIAGO LTDA,(31) 3308-6105,(31)99967-6524,geovanna.pereira@gruposantiago.com.br
MJS DISTRIBUIDORA EIRELI EPP,(31) 3476-6047,(31) 98751-5252,mjscabos@gmail.com
ML IMPERMEABILIZAÇÕES LTDA,(31)3332-4303,(31) 98678-0350,mlimper@hotmail.com
MOLD EPOXI TRANSFORMADORES LTDA,(31) 3491-2232,(31) 98726-0052,renata@rpcmg.com.br
