Codigo;RazaoSocial;Código do Grupo;Grupo de Insumos;Contato;Fone;WhatsApp;Email;CNPJ;Insc. Estadual;Endereco;Numero;Bairro;Cidade;Estado;Cep;Cartão Crédito;;;;;;;;;;;;
312;TERRA REVESTIMENTOS LTDA;2;AGLOMERANTE;Carlos / Joselei;(31)3286-4650 ;(31)99742-5551;vendas@tile.com.br;38.700.985/0001-30; 062.196.071-0000;Rua Outono;81;Carmo;BELO HORIZONTE;MG;30310-020;SIM;;;;;;;;;;;;
317;TULIMAR REPRESENTAÇÕES (CERAMFIX);2;AGLOMERANTE;Marco Tulio;(31)3421-1997 98888-9260;(31)0000;tulimar@terra.com.br;;;;;;BELO HORIZONTE;;;;;;;;;;;;;;;
163;ICAL IND. DE CALCINAÇÃO LTDA;3;AGREGADO ;Bernardo;(31)3421-2996 ;(31)9974-2664;bernardonpereira@gmail.com;17.157.264/0001-56;763.009.904-0018;Rod. MG 424; Km 6;Zona Rural;SÃO JOSÉ DA LAPA;MG;33350-000;NÃO;;;;;;;;;;;;
229;MINAS AREIA;3;AGREGADO ;Leandro;(31)3428-3000 / 99812-6511;(31)0000;minasareias01@gmail.com;;;;;;;;;;;;;;;;;;;;;
338;MINERAÇÃO MONTREAL LTDA;3;AGREGADO ;Bernardo;(31)34212996 ;(31)9974-2664;bernardonpereira@gmail.com;70.967.971/0001-90;298.854.027-0011;Av. Fausto Ribeiro da Silva;S/N  Fazenda Bocaina;Bandeirinhas;Betim;MG;32657-300;NÃO;;;;;;;;;;;;
233;MINERAÇÃO SANTIAGO LTDA;3;AGREGADO ;Marcos / Cheila;(31)3691-1000 ;(31)99967-6524;marcos@mineracaosantiago.com.br, cheila.sales@mineracaosantiago.com.br;64.210.875/0001-09;578.760.841-0098;Fazenda Bom Destino;S/N - Lote 4;Bom Destino;SANTA LUZIA;MG;33060-112;SIM;;;;;;;;;;;;
46;BLOCO SIGMA LTDA;4;ALVENARIA;Arthur / Karina;(31)3385-6544;(31)99900-0200 / 01;karina@blocosigma.com.br;02.623.626/0001-80;062.785.035-0021;Rua Nair Camillo dos Reis;30;CDI Vale doJatobá;BELO HORIZONTE;MG;30664-002;SIM;;;;;;;;;;;;
47;BLOJAF LTDA;4;ALVENARIA;Jucimar / Tomaz / Wilson;(31)3394-4311 ;(31)3514-1200;jucimar@blojaf.com.br;00.860.887/0001-98;186.947.889-0088;Rua Jose Francisco das Chagas;S/N - Portaria 01;São Sebastião;CONTAGEM;MG;32.150-340;SIM;;;;;;;;;;;;
68;CERAMICA MARBETH LTDA;4;ALVENARIA;Katia / Michelle;(31)3499-7800;(31)99861-1005;michelle@braunas.com.br, katia@braunas.com.br;23.454.853/0001-07;546.002.127-0050;Av. Presidente Antonio Carlos;7965;São Luiz;BELO HORIZONTE;MG;31270-010;SIM;;;;;;;;;;;;
71;CERAMICA VILLA ROMANA LTDA;4;ALVENARIA;Alexandre  / Viviana;(19)3834-3613 ;(19)99603-2613;ceramica@ceramicavillaromana.com.br;05.077.157/0001-39;353.096.609.11-9;Rua Angela Trevisan Ciciliato;635;Jd. Oliveira Camargo;INDAIATUBA;SP;13340-730;SIM;;;;;;;;;;;;
72;CERÂMICA VISÃO LTDA;4;ALVENARIA;Deusimar / Sandra Moura;(37)3233-1414 ;(31)99303-9363;tijolosvisao@gmail.com;03.002.830/0001-46;47.101.155-1091;Rodovia BR 262;KM 432;Distrito Torneiros;PARÁ DE MINAS;MG;35665-100;SIM;;;;;;;;;;;;
73;CERAMICAS CEDROMINAS LTDA;4;ALVENARIA;Caetano / Cassiana;(31)3398-3014 ;(31)98859-8267;tijoloscaetano@yahoo.com.br;22.488.761/0001-77;302.546.352-0013;Rua Maria Olinda Nascimento;171;Linda Vista;CONTAGEM;MG;32041-630;NÃO;;;;;;;;;;;;
75;CESTA BASICA BOM APETITE EIRELI;7;CESTA BÁSICA;Sueli;(31)3491-6065 ;(31)98896-3002;suelibomapetit@hotmail.com;00.607.136/0001-64;062.928.694-0040;Rua Viana do Castelo;950;São Francisco;BELO HORIZONTE;MG;31255-160;SIM;;;;;;;;;;;;
62;ALVIM COMERCIO DE MADEIRAS EIRELI;9;COBERTURA ;Sérgio Chaves;(31)3377-8899;(31)99140-5528;sergiochavesluiz1@gmail.com;24.651.750/0001.91;2.748.064-0013;Via Expressa  de Contagem ;3085;Parque São João;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
34;ARTEFATOS DE CHAPAS IND. E COM. S/A;9;COBERTURA ;Roberto Moreira;(31)3328-4803;(31)99981-6515;artefatos@artefatosdechapas.com.br, roberto@artefatosdechapas.com.br;19.172.907/0001-66;186.182.254-0090;Rua Sandoval de Azevedo;101;Jardim Industrial;CONTAGEM;MG;32220-020;SIM;;;;;;;;;;;;
44;BH MADEIRAS LTDA;9;COBERTURA ;Rêmulo / Telmo;(31)3371-8100 ;(31)99769-2033;bhmadeiras@bhmadeiras.com.br, telmo@bhmadeiras.com.br;25.168.386/0001-76;062.591.737-0078;Rua Paraoquena;105;Nova Granada;BELO HORIZONTE;MG;30.431-420;SIM;;;;;;;;;;;;
50;BRAGA & OLIVEIRA REPRESENTAÇÕES LTDA.;9;COBERTURA ;Elderson/Julye;(31) 3386-4778;(31)0000;elderson.escritorio@hotmail.com;;;Rua Guilherme Pinto Fonseca;243;M. Gertrudes;BELO HORIZONTE;MG;30518-240;;;;;;;;;;;;;
76;CHAPERFIL INDÚSTRIA E COMÉRCIO LTDA;9;COBERTURA ;Izanan / Marcelo;(31)3333-2400;(31)99767-9410;izanan@chaperfil.com.br, marcelo@chaperfil.com.br;23.388.804/0001-05;186.544.862-0020;Av. General David Sarnoff;4340;Jardim Industrial;CONTAGEM;MG;32210-110;SIM;;;;;;;;;;;;
80;COBERTURAS ALVORADA LTDA;9;COBERTURA ;Silvia Rocha / Flávia;(31)3441-3900 ;(31)98484-1922;silvia@alvoradatoldos.com.br, anaflavia@alvoradatoldos.com.br;00.543.120/0001-35;062.925.622-0082;Rua Estoril;1.717;São Francisco;BELO HORIZONTE;MG;31255-190;SIM;;;;;;;;;;;;
91;COMERCIAL DE TELHAS CHALÉ LTDA;9;COBERTURA ;Wanderson / Alexsander;(31)3373-1587 ;(31)98402-5663;chaletelhascomercial@gmail.com;25.806.779/0001-68;062.609.890-0042;Av. Barão Homem de Melo;1965;Alpes (ANTIGO JARDIM AMERICA);BELO HORIZONTE;MG;30.451-669;SIM;;;;;;;;;;;;
158;HASTIFIX INDUSTRIA E COMERCIO LTDA;9;COBERTURA ;José Antonio;(31)3357-7655;(31)98605-9754;hastifix.ltda@gmail.com;70.993.480/0001-14;186.837.818-0002;R. Te. Paulo Afonso Souza;300;Arvoredo;CONTAGEM;MG;32113-235;SIM;;;;;;;;;;;;
93;JB COMERCIO E DISTRIBUIDORA LTDA;9;COBERTURA ;Helena Fernandes;(31)3482-5433;(31)97300-0263;vendas@jbcimento.com.br, helena@jbcimento.com.br;15.373.066/0001-02;001.946.815-0070;Rua Vila Real ;767;São Francisco;BELO HORIZONTE;MG;31255-150;NÃO;;;;;;;;;;;;
207;MADEIRAS BALIZA COMERCIO EIRELI;9;COBERTURA ;Dimas / Felipe / Antonia;(31)3433-3266;(31)0000;antoniaisabel@madeirasbaliza.com.br;03.907.277/0001-90;062.091.442-0096;Av. Cristiano Machado;9350;Minaslândia (P Maio);BELO HORIZONTE;MG;31812-112;;;;;;;;;;;;;
208;MADEIRAS MONTESE LTDA;9;COBERTURA ;Orlando / Leonardo;(31)3421-3000 ;(31)99983-7941;leonardo@madeirasmontese.com.br;02.695.038/0001-51;062.857.285-0065;Rua Major Delfino de Paula;2443;São Francisco;BELO HORIZONTE;MG;31255-170;SIM;;;;;;;;;;;;
209;MADEIRAS VIA DO MINERIO LTDA;9;COBERTURA ;Gilmar / Pamela;(31)3383-7099 ;(31)98658-4258;madeirasviadominerio@hotmail.com;42.861.542/0001-07;062.808.988.00-52;Av. Waldir Soeiro Emrich;1991;Milionários;BELO HORIZONTE;MG;30620-000;SIM;;;;;;;;;;;;
210;MADEIREIRA ESTRELA LTDA;9;COBERTURA ;Alberto Júnior;(31)3476-8131;(31)0000;vendas@madeireiraestrela.com.br;03.328.476/0001-44;062.041.352-0012;Av. Horáclito Mourão de Miranda;2540;Castelo;BELO HORIZONTE;MG;31330-142;;;;;;;;;;;;;
192;MADEIREIRA LARA AMARAL LTDA;9;COBERTURA ;Camilo / Conceição;(31)3474-1292 ;(31)98487-3176;madeirasrdm@hotmail.com;17.677.853/0001-65;002.108.274-0004;Rua Imperial;63;São Sebastião;BELO HORIZONTE;MG;30881-570;SIM;;;;;;;;;;;;
228;MG TOLDOS EIRELI;9;COBERTURA ;Arthur;(31)3335-9782 ;(31)98343-1533;toldosmg@toldosmg.com.br;01.742.927/0001-60;062.345.518-0000;Rua Montese;757;Santa Branca;BELO HORIZONTE;MG;31565-150;;;;;;;;;;;;;
262;PORTAL CARPINTARIA E MARCENARIA LTDA;9;COBERTURA ;Eugênio / Maira;(31)3498-2066;(31)99851-3470;eugenio@portalmadeiras.com.br, vendas@portalmadeiras.com.br;20.996.039/0001-18;062.291702.00-40;Rua Sena Madureira;507;Ouro Preto;BELO HORIZONTE;MG;31340-000;SIM;;;;;;;;;;;;
285;SDV TELHAS E MADEIRAS LTDA;9;COBERTURA ;Sérgio / Renato;(31)3498-4101 ;(31)99886-3737;sergiosvidal@yahoo.com.br;02.439.971/0001-68;062.738.325-0051;Rua Deputado Andre de Almeida;600;Paquetá;BELO HORIZONTE;MG;31330-530;NÃO;;;;;;;;;;;;
313;TOLDOS GERAIS LTDA;9;COBERTURA ;Silvana  ;(31)3385-4552 ;(31)99614-6810;vendas@toldosgerais.com.br;02.873.343/0001-96;002.844.734-0023;Av. Waldyr Soeiro Emrich;4645 A;Diamante;BELO HORIZONTE;MG;30660-560;SIM;;;;;;;;;;;;
316;TRIANGULO TELHAS COLONIAIS LTDA;9;COBERTURA ;Júlio / Joyce;(31)3441-2041;(31)0000;joyce@triangulotelhas.com.br, admtriangulotelhas@gmail.com;18.750.612/0001-67;062.420.368-0084;Av. Dom Pedro I;680;Itapoã;BELO HORIZONTE;MG;31710-000;SIM;;;;;;;;;;;;
52;CAPITALMIX LTDA;10;CONCRETO USINADO ;Carlos / Fran;(31)3288-2188;(31)0000;cadastro@capitalconcreto.com.br;;;R. Jeronimo Marcucci;131;Olhos D'água;BELO HORIZONTE;MG;30390-000;;;;;;;;;;;;;
314;CONCRELINE LOCACAO DE EQUIPAMENTOS E SERVICOS LTDA;10;CONCRETO USINADO ;Mattheus / Gislaine;(31)3198-9300;(31)0000;gislaine.assis@topmix.com.br;02.229.411/0006-93;062.722.337-0164;Rua São Pedro D'aldeia;1230;Pilar;BELO HORIZONTE;MG;30390-000;;;;;;;;;;;;;
299;SUPER CONCRETO LTDA;10;CONCRETO USINADO ;Mariana / Francis;(31)3394-3333 ;(31)99235-2572;mariana.oliveira@superconcreto.com.br;07.484.707/0001-60;186.394.884-0078;Av. Apio Cardoso;785;Cinção;CONTAGEM;MG;32371-615;;;;;;;;;;;;;
301;SUPERMIX CONCRETO S/A;10;CONCRETO USINADO / ARGAMASSA;Pyerri Maycon / Natany;(31)3448-4155 ;(31)99673-1339;pyerri.pelizzari@supermix.com.br, comercial.bhz@supermix.com.br;34.230.979/0001-06;062.758.912-0137;Prf. Jose Vieira de Mendonça;1121;Engenho Nogueira;BELO HORIZONTE;MG;31310-260;SIM;;;;;;;;;;;;
94;COMITEC COMÉRCIO LTDA - EPP;11;CONTRA INCÊNDIO;Graziela ;(31)3227-9808;(31)3221-3283;comiteccomercioltda@gmail.com, graziela@comitec.com.br;21.783.071/0001-88;062.290.877-0058;Rua Santa Cruz;407;Alto Barroca;BELO HORIZONTE;MG;30431-045;SIM;;;;;;;;;;;;
172;INDUSTRIA DE PORTAS IMPORTA LTDA;11;CONTRA INCÊNDIO;Claudio / Ani;(31)3444-4166 ;(31)98324-0815;importas@importas.com.br;04.543.795/0001-35;062.136.003-0068;Rua Rocha Lagoa;434 A;Cachoeirinha;BELO HORIONTE;MG;31150-040;;;;;;;;;;;;;
231;MINAS EXTIN COMERCIO E SERVIÇOS EM EXTINTORES LTDA;11;CONTRA INCÊNDIO;Hélio Costa, Wanderson, Laine ;(31)3332-0200 ;(31)99283-9505;extiminas@extiminas.com.br;06.006.149/0001-64;062.381.298-0044;Rua Junquilhos;97;Nova Suissa;BELO HORIZONTE;MG;30421-010;SIM;;;;;;;;;;;;
4;ABCK COMERCIO DE MATERIAL ELETRICO LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Willian / Bruno ;(31)3481-1890 ;(31)98272-9729;abacoprojetos@gmail.com, abaco.adm@gmail.com;03.814.354/0001-68;062.151202-0043;Rua Pirite;465;Pompeia;BELO HORIZONTE;MG;30280-300;NÃO;;;;;;;;;;;;
9;ALALUX COMERCIAL LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Noráh / Beatriz;(31)2112-1111 ;(31)99166-8989;alalux@alalux.com.br, beatriz.arreguy@alalux.com.br, norah@alalux.com.br;71.328.462/0001-80;062.851.089-0080;Rua Alagoas;474;Funcionários;BELO HORIZONTE;MG;30130-162;SIM;;;;;;;;;;;;
63;CENTRAL DO PADRÃO E INSTALAÇÕES ELÉTRICAS LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Ribeiro / João Paulo;(31)3212-4936 ;(31)98364-2813;vendascentraldopadrao@yahoo.com;13.778.379/0001-07;001.786.291-0044;Avenida Bias Fortes;1636;Centro;BELO HORIZONTE;MG;30170-012;SIM;;;;;;;;;;;;
64;CENTRAL ILUMINAÇÃO LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Margareth Alves;(31)3429-8505 ;(31)98607-3929;margareth@centraliluminacao.com.br;17.283.821/0001-85;062.014.673-0037;Rua Bonfim;200;Bonfim;BELO HORIZONTE;MG;31210-150;SIM;;;;;;;;;;;;
116;ELÉTRICA E FERRAGEM DIAS LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Renato / Tácio;(31)3371-4999 ;(31)98333-0619;eletricadias@hotmail.com;01.635.506/0001-30;062.036.365-0007;Av. Francisco Sá;756;Prado;BELO HORIZONTE;MG;30411-174;SIM;;;;;;;;;;;;
117;ELETRO BETIM LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Márcio / Tiago;(31)3532-3432 ;(31)99488-6929;vendasehb@eletrobetim.com.br;25.973.033/0005-72;067.619.318-0418;Av. das Américas;606;Filadelfia;BETIM;MG;32510-380;SIM;;;;;;;;;;;;
118;ELETROMATE MATERIAIS ELETRICOS EIRELLI;13;ELÉTRICA, TELEFONE E LÓGICA;Estevam / Lucas;(31)4009-4444 ;(31)0000;ricardo@eletromate.com.br;02.034.442/0001-84;186.710.888.00-51;Av. Regulus;691;Jardim Riacho das Pedras;CONTAGEM;MG;32241-210;;;;;;;;;;;;;
242;GO ENGENHARIA LTDA;13;ELÉTRICA, TELEFONE E LÓGICA (SERVIÇOS);Alexandre Daher;(31)3467-4477 ;(31)99883-8061;alexandre@grupoorlando.com.br   ;16.664.435/0001-70;062.125.761-0022;Rua Cardoso;106;Santa Efigênia;BELO HORIZONTE;MG;30260-170;SIM;;;;;;;;;;;;
181;ITAÚ DISTRIBUIDORA DE MATERIAL ELETRICO LTDA ;13;ELÉTRICA, TELEFONE E LÓGICA;Jamir / Fernando;(31)3639-9150 ;(31)99154-4928;jamir@itaueletrica.com.br, vendas5@itaueletrica.com.br;01.281.608/0001-02;546.974.495-0055;Avenida Itaú;288;Havaí;RIBEIRÃO DAS NEVES;MG;33935-315;SIM;;;;;;;;;;;;
199;LOJA DO PAULO COMERCIO LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Rodolfo;(31)2111-8208;(31)97515-6198;rodolfo@lojadopaulo.com.br;16.515.454/0001-35;062.037.833-0062;Av. Amazonas;939 / 201;Centro;BELO HORIZONTE;MG;30180-000;SIM;;;;;;;;;;;;
236;MULTIREDE DISTRIBUIDORA LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Matheus / Vicente;(31)3464-0620 ;(31)3469-0305;vicente@multiredebh.com.br;01.115.345/0001-53;062.964.933-0010;Rua Fornaciari;82;Caiçara;BELO HORIZONTE;MG;30770-010;SIM;;;;;;;;;;;;
241;OLINTO ATACADISTA LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Gabriela / Samira;(31)3452-8282 ;(31)99911-1230;distribuidora@distribuidorapampulha.com.br;00.506.974/0001-41;062.932.752-0040;Rua Érico Veríssimo;1495;Santa Mônica;BELO HORIZONTE;;31520-395;SIM;;;;;;;;;;;;
282;RPC REPRESENTAÇÕES LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;César, Renata;(31)3491-2232 / 98726-0052;(31)0000;renata@rpcmg.com.br, cesar@rpcmg.com.br;;;Av.Prof. Magalhães Penido;693;Liberdade;BELO HORIZONTE;;30270-700;;;;;;;;;;;;;
322;UNIVERSO ELÉTRICO LTDA;13;ELÉTRICA, TELEFONE E LÓGICA;Olímpio Couto/ Cleber ;(31)3071-3241 ;(31)99979-8312;olimpio@universoeletrico.com.br, cleber@universoeletrico.com.br;02.697.297/0001-11;062.987.137-0023;Rua Otaviano Fabri;220;Ermelinda;BELO HORIZONTE;MG;31250-682;SIM;;;;;;;;;;;;
120;EPI COMÉRCIO E DISTRIBUIÇÃO LTDA;14;EPI;Manuellen / Sabrina;(31)3439-1200;(31)99523-2214;lojasaofrancisco02@eliteepi.com.br;24.200.699/0001-00;002.706.909-0072;Rua Teonilio Niquini;900;Dist. Industrial Jardim Piemont Sul;Betim;MG;32669-700;SIM;;;;;;;;;;;;
169;IMPÉRIO EQUIPAMENTOS DE SEGURANÇA LTDA;14;EPI;Vander / Altamira;(31)3270-1155;(31)0000;vander@imperioseguranca.com.br;64.424.682/0001-42;062.705.120-0096;Rua Mato Grosso;25;Centro;BELO HORIZONTE;MG;30190-080;SIM;;;;;;;;;;;;
221;MASEL - MATERIAIS DE SEGURANÇA EIRELI;14;EPI;Suelena Braga / Luiza;(31)3351-9038;(31)0000;suelena@jorag.com.br ;25.787.250/0001-44;618.607.106-0062;Rua Vereador Vitor Mendes;280;São Paulo;São Gonçalo do Pará;MG;35544-000;;;;;;;;;;;;;
234;MJS DISTRIBUIDORA EIRELI EPP;14;EPI;Magno Marcio;(31)3476-6047 ;(31)98751-5252;mjscabos@gmail.com, comercialmjs@gmail.com ;26.646.993/0001-67;002.873.564-0073;Av. das Americas;300;São Sebastião;CONTAGEM;MG;32.150-000;NÃO;;;;;;;;;;;;
294;SM SEGURANÇA BELO HORIZONTE LTDA;14;EPI;Erica;(31)2123-0380 ;(31)0000;smbh.smbh@yahoo.com.br;06.176.619/0001-38;062.298.427-0010;Rua Ametista;171 A;Prado;BELO HORIZONTE;MG;30411-135;;;;;;;;;;;;;
21;REINOX - ARAÚJO ARTEFATOS DE AÇO LTDA;15;EQUIPAMENTO GOURMET;Arlley;(31)3286-2727 ;(31)99388-0311;reinoxaraujo@gmail.com;02.757.719/0001-05;062.988.532-0031;Av Nossa Senhora do Carmo;1801 Lj 03;Sion;BELO HORIZONTE;MG;31930-000;;;;;;;;;;;;;
45;BH MÓVEIS PARA ESCRITÓRIO LTDA;16;EQUIPAMENTO PARA ESCRITÓRIO;Jovino / Hernane;(31)3444-8302;(31)98228-1816;bhmoveis@bhmoveis.com.br;25.983.164/0001-07;062.615.642-0010;Av. Silviano Brandão;359;Sagrada Família;BELO HORIZONTE;MG;31030-525;SIM;;;;;;;;;;;;
30;CDM CENTRO DE DISTRIBUIÇÃO DE MOVEIS LTDA ;16;EQUIPAMENTO PARA ESCRITÓRIO;Rafael Souza / Tiago;(31)3411-3390;(31)99324-6212;tiago@spazi.com.br;07.524.670/0001-56;062.370.713-0052;Rua salvador Pilo;171;Calafate;BELO HORIZONTE;MG;30411-350;SIM;;;;;;;;;;;;
102;CREFIPEL DISTRIBUIDORA LTDA;16;EQUIPAMENTO PARA ESCRITÓRIO, LIMPEZA, PAPELÃO, PLÁSTICO BOLHA;Aparecida / José Marcos;(31)3444-8388;(31)98272-7130;crefipeldistribuidora@yahoo.com.br;17.471.905/0001-42;062.356190-0045;Rua Pouso Alegre;197;Floresta;BELO HORIZONTE;MG;31110-010;SIM;;;;;;;;;;;;
113;DISTRIBUIDORA TRIÂNGULO LTDA;16;EQUIPAMENTO PARA ESCRITÓRIO;Neia;(31)3469-6900;(31)0000;vendas.triangulo@distriangulo.com.br;17.498.163/0001-49;062.024.914.00-97;Rua Santa Quitéria;634;Carlos Prates;BELO HORIZONTE;MG;30710-460;SIM;;;;;;;;;;;;
133;EXPRESSA NOVECENTOS LTDA ;16;EQUIPAMENTO PARA ESCRITÓRIO;Luciane / Ana / Nelito;(31)3462-5495 ;(31)99960-8601;vianovecentos@hotmail.com;05.359.424/0001-60;062.228.141-0039;Avenida Teresa Cristina;900;Carlos Prates;BELO HORIZONTE;MG;30710-640;SIM;;;;;;;;;;;;
58;LIDER INDUSTRIA E COMERCIO LTDA;16;EQUIPAMENTO PARA ESCRITÓRIO - Manutenção;Estephani / Ronaldo;(31)3342-3200;(31)0000;vendas02@casadosbebedouroslider.com.br;17.275.983/0001-71;062.014.113-0007;Rua Porto;371;São Francisco;BELO HORIZONTE;MG;31255-080;;;;;;;;;;;;;
202;LUANNA MÓVEIS PARA ESCRITORIO EIRELLI;16;EQUIPAMENTO PARA ESCRITÓRIO;Romeu ;(31)3278-4443;(31)0000;gerencia@ttamoveis.com.br;04.394.914/0001-35;062.154.183-0031;Av. Tereza Cristina;550;Carlos Prates;BELO HORIZONTE;MG;30710-640;;;;;;;;;;;;;
280;RMAD COMERCIO DE MOVEIS LTDA;16;EQUIPAMENTO PARA ESCRITÓRIO;Alexandre Filho / Renato;(31)3282-9855;(31)0000;atendimento@madeirensemoveis.com.br;;;Avenida do contorno;5943;Savassi;BELO HORIZONTE;MG;30110-100;;;;;;;;;;;;;
326;VENTILADORES E CIA LTDA;16;EQUIPAMENTO PARA ESCRITÓRIO;Michelle / Quenia;(31)3497-9095 / 99659-9095;(31)0000;ventiladores7cia@gmail.com;;;Avenida Izabel Bueno;780;;BELO HORIZONTE;;;;;;;;;;;;;;;
